nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
1,16384,PARALLEL,0.181,0.08
1,16384,BROADCAST,0.187,0.111
1,16384,SERIAL,0.196,0.12
1,393216,PARALLEL,1.864,0.121
1,393216,BROADCAST,1.879,0.117
1,393216,SERIAL,2.045,0.061
1,786432,PARALLEL,4.347,0.1
1,786432,BROADCAST,3.728,0.085
1,786432,SERIAL,4.266,0.091
2,16384,PARALLEL,0.182,0.123
2,16384,BROADCAST,0.145,0.112
2,16384,SERIAL,0.171,0.09
2,393216,PARALLEL,1.915,0.113
2,393216,BROADCAST,1.936,0.074
2,393216,SERIAL,2.131,0.078
2,786432,PARALLEL,4.469,0.099
2,786432,BROADCAST,3.878,0.077
2,786432,SERIAL,3.873,0.099
3,16384,PARALLEL,0.131,0.049
3,16384,BROADCAST,0.163,0.061
3,16384,SERIAL,0.192,0.117
3,393216,PARALLEL,2.28,0.09
3,393216,BROADCAST,2.266,0.068
3,393216,SERIAL,2.172,0.075
3,786432,PARALLEL,4.446,0.098
3,786432,BROADCAST,4.055,0.079
3,786432,SERIAL,3.953,0.063
4,16384,PARALLEL,0.191,0.069
4,16384,BROADCAST,0.134,0.05
4,16384,SERIAL,0.152,0.063
4,393216,PARALLEL,1.884,0.066
4,393216,BROADCAST,1.84,0.061
4,393216,SERIAL,1.937,0.05
4,786432,PARALLEL,3.729,0.064
4,786432,BROADCAST,3.666,0.061
4,786432,SERIAL,3.624,0.094
5,16384,PARALLEL,0.126,0.046
5,16384,BROADCAST,0.169,0.051
5,16384,SERIAL,0.129,0.049
5,393216,PARALLEL,1.912,0.061
5,393216,BROADCAST,2.013,0.1
5,393216,SERIAL,2.409,0.075
5,786432,PARALLEL,3.861,0.074
5,786432,BROADCAST,3.627,0.067
5,786432,SERIAL,4.124,0.097
6,16384,PARALLEL,0.169,0.093
6,16384,BROADCAST,0.16,0.121
6,16384,SERIAL,0.168,0.098
6,393216,PARALLEL,1.957,0.123
6,393216,BROADCAST,1.902,0.096
6,393216,SERIAL,2.226,0.111
6,786432,PARALLEL,4.136,0.103
6,786432,BROADCAST,3.989,0.103
6,786432,SERIAL,3.68,0.067
7,16384,PARALLEL,0.193,0.114
7,16384,BROADCAST,0.201,0.119
7,16384,SERIAL,0.164,0.091
7,393216,PARALLEL,2.069,0.109
7,393216,BROADCAST,1.804,0.058
7,393216,SERIAL,2.266,0.088
7,786432,PARALLEL,4.449,0.083
7,786432,BROADCAST,4.037,0.073
7,786432,SERIAL,4.289,0.08
8,16384,PARALLEL,0.142,0.046
8,16384,BROADCAST,0.138,0.06
8,16384,SERIAL,0.154,0.063
8,393216,PARALLEL,1.984,0.061
8,393216,BROADCAST,2.25,0.078
8,393216,SERIAL,1.884,0.064
8,786432,PARALLEL,4.617,0.079
8,786432,BROADCAST,3.68,0.062
8,786432,SERIAL,4.088,0.074
9,16384,PARALLEL,0.148,0.091
9,16384,BROADCAST,0.163,0.091
9,16384,SERIAL,0.198,0.067
9,393216,PARALLEL,2.079,0.066
9,393216,BROADCAST,2.031,0.058
9,393216,SERIAL,2.306,0.056
9,786432,PARALLEL,3.977,0.08
9,786432,BROADCAST,4.92,0.092
9,786432,SERIAL,4.087,0.056
10,16384,PARALLEL,0.23,0.08
10,16384,BROADCAST,0.221,0.117
10,16384,SERIAL,0.34,0.067
10,393216,PARALLEL,2.242,0.091
10,393216,BROADCAST,1.808,0.06
10,393216,SERIAL,1.947,0.061
10,786432,PARALLEL,4.059,0.069
10,786432,BROADCAST,3.58,0.066
10,786432,SERIAL,4.318,0.094
11,16384,PARALLEL,0.123,0.043
11,16384,BROADCAST,0.145,0.037
11,16384,SERIAL,0.195,0.122
11,393216,PARALLEL,2.028,0.073
11,393216,BROADCAST,1.89,0.054
11,393216,SERIAL,1.875,0.077
11,786432,PARALLEL,3.808,0.171
11,786432,BROADCAST,3.647,0.178
11,786432,SERIAL,3.91,0.06
12,16384,PARALLEL,0.167,0.052
12,16384,BROADCAST,0.209,0.095
12,16384,SERIAL,0.175,0.058
12,393216,PARALLEL,1.831,0.056
12,393216,BROADCAST,1.888,0.091
12,393216,SERIAL,1.941,0.092
12,786432,PARALLEL,3.761,0.089
12,786432,BROADCAST,4.098,0.083
12,786432,SERIAL,4.065,0.068
13,16384,PARALLEL,0.197,0.074
13,16384,BROADCAST,0.218,0.087
13,16384,SERIAL,0.138,0.046
13,393216,PARALLEL,2.261,0.075
13,393216,BROADCAST,2.071,0.062
13,393216,SERIAL,1.895,0.067
13,786432,PARALLEL,4.474,0.102
13,786432,BROADCAST,3.805,0.06
13,786432,SERIAL,3.715,0.098
14,16384,PARALLEL,0.139,0.051
14,16384,BROADCAST,0.138,0.1
14,16384,SERIAL,0.163,0.063
14,393216,PARALLEL,2.042,0.098
14,393216,BROADCAST,1.847,0.093
14,393216,SERIAL,1.937,0.109
14,786432,PARALLEL,3.739,0.097
14,786432,BROADCAST,3.62,0.064
14,786432,SERIAL,3.643,0.097
15,16384,PARALLEL,0.149,0.106
15,16384,BROADCAST,0.192,0.063
15,16384,SERIAL,0.162,0.05
15,393216,PARALLEL,2.227,0.111
15,393216,BROADCAST,2.016,0.084
15,393216,SERIAL,2.314,0.072
15,786432,PARALLEL,3.792,0.101
15,786432,BROADCAST,3.862,0.067
15,786432,SERIAL,3.789,0.071
16,16384,PARALLEL,0.268,0.09
16,16384,BROADCAST,0.146,0.089
16,16384,SERIAL,0.165,0.051
16,393216,PARALLEL,1.958,0.093
16,393216,BROADCAST,1.93,0.075
16,393216,SERIAL,1.868,0.085
16,786432,PARALLEL,3.589,0.077
16,786432,BROADCAST,3.486,0.125
16,786432,SERIAL,3.656,0.08
17,16384,PARALLEL,0.172,0.088
17,16384,BROADCAST,0.176,0.066
17,16384,SERIAL,0.132,0.094
17,393216,PARALLEL,1.889,0.128
17,393216,BROADCAST,1.867,0.13
17,393216,SERIAL,1.819,0.106
17,786432,PARALLEL,3.575,0.118
17,786432,BROADCAST,4.068,0.197
17,786432,SERIAL,3.755,0.128
18,16384,PARALLEL,0.192,0.053
18,16384,BROADCAST,0.201,0.129
18,16384,SERIAL,0.217,0.125
18,393216,PARALLEL,1.961,0.11
18,393216,BROADCAST,2.225,0.088
18,393216,SERIAL,2.233,0.27
18,786432,PARALLEL,3.752,0.065
18,786432,BROADCAST,3.657,0.098
18,786432,SERIAL,4.567,0.137
19,16384,PARALLEL,0.193,0.067
19,16384,BROADCAST,0.212,0.074
19,16384,SERIAL,0.185,0.077
19,393216,PARALLEL,2.527,0.099
19,393216,BROADCAST,2.25,0.084
19,393216,SERIAL,2.002,0.067
19,786432,PARALLEL,3.696,0.066
19,786432,BROADCAST,4.1,0.056
19,786432,SERIAL,3.582,0.06
20,16384,PARALLEL,0.126,0.051
20,16384,BROADCAST,0.168,0.092
20,16384,SERIAL,0.164,0.091
20,393216,PARALLEL,2.06,0.124
20,393216,BROADCAST,2.167,0.124
20,393216,SERIAL,1.846,0.057
20,786432,PARALLEL,4.268,0.104
20,786432,BROADCAST,4.287,0.12
20,786432,SERIAL,4.128,0.085
21,16384,PARALLEL,0.284,0.152
21,16384,BROADCAST,0.192,0.068
21,16384,SERIAL,0.12,0.042
21,393216,PARALLEL,2.05,0.065
21,393216,BROADCAST,1.892,0.056
21,393216,SERIAL,2.091,0.053
21,786432,PARALLEL,4.179,0.066
21,786432,BROADCAST,3.598,0.073
21,786432,SERIAL,3.581,0.055
22,16384,PARALLEL,0.129,0.052
22,16384,BROADCAST,0.162,0.07
22,16384,SERIAL,0.151,0.075
22,393216,PARALLEL,2.094,0.098
22,393216,BROADCAST,1.771,0.093
22,393216,SERIAL,1.991,0.123
22,786432,PARALLEL,3.905,0.109
22,786432,BROADCAST,4.017,0.062
22,786432,SERIAL,4.444,0.061
23,16384,PARALLEL,0.186,0.089
23,16384,BROADCAST,0.175,0.064
23,16384,SERIAL,0.142,0.054
23,393216,PARALLEL,2.293,0.076
23,393216,BROADCAST,1.818,0.055
23,393216,SERIAL,2.364,0.082
23,786432,PARALLEL,3.635,0.054
23,786432,BROADCAST,3.605,0.12
23,786432,SERIAL,3.561,0.119
24,16384,PARALLEL,0.193,0.071
24,16384,BROADCAST,0.222,0.07
24,16384,SERIAL,0.189,0.097
24,393216,PARALLEL,2.051,0.076
24,393216,BROADCAST,1.93,0.043
24,393216,SERIAL,2.035,0.112
24,786432,PARALLEL,3.507,0.127
24,786432,BROADCAST,3.933,0.104
24,786432,SERIAL,3.708,0.112
25,16384,PARALLEL,0.193,0.124
25,16384,BROADCAST,0.168,0.09
25,16384,SERIAL,0.129,0.045
25,393216,PARALLEL,1.815,0.116
25,393216,BROADCAST,1.916,0.1
25,393216,SERIAL,1.99,0.123
25,786432,PARALLEL,3.77,0.124
25,786432,BROADCAST,3.752,0.122
25,786432,SERIAL,3.588,0.123
26,16384,PARALLEL,0.184,0.092
26,16384,BROADCAST,0.173,0.122
26,16384,SERIAL,0.174,0.103
26,393216,PARALLEL,1.809,0.13
