nr_dpus,input_size,transfer_type,variable_type,nr_tasklets,nr_instructions
16,1048576,PARALLEL,INT64,1,8952900
16,1048576,PARALLEL,INT64,2,8952980
16,1048576,PARALLEL,INT64,3,8953200
16,1048576,PARALLEL,INT64,4,8953280
16,1048576,PARALLEL,INT64,5,8953500
16,1048576,PARALLEL,INT64,6,8953780
16,1048576,PARALLEL,INT64,7,8954030
16,1048576,PARALLEL,INT64,8,8954300
16,1048576,PARALLEL,INT64,9,8954670
16,1048576,PARALLEL,INT64,10,8955090
16,1048576,PARALLEL,INT64,11,8955310
16,1048576,PARALLEL,INT64,12,8955900
16,1048576,PARALLEL,INT64,13,8956270
16,1048576,PARALLEL,INT64,14,8956770
16,1048576,PARALLEL,INT64,15,8957340
16,1048576,PARALLEL,INT64,16,8957740
16,1048576,PARALLEL,INT64,17,8958290
16,1048576,PARALLEL,INT64,18,8958850
16,1048576,PARALLEL,INT64,19,8959360
16,1048576,PARALLEL,INT64,20,8960060
16,1048576,PARALLEL,INT64,21,8960740
16,1048576,PARALLEL,INT64,22,8961420
16,1048576,PARALLEL,INT64,23,8962160
32,1048576,PARALLEL,INT64,1,4476480
32,1048576,PARALLEL,INT64,2,4476560
32,1048576,PARALLEL,INT64,3,4476720
32,1048576,PARALLEL,INT64,4,4476860
32,1048576,PARALLEL,INT64,5,4477170
32,1048576,PARALLEL,INT64,6,4477380
32,1048576,PARALLEL,INT64,7,4477620
32,1048576,PARALLEL,INT64,8,4477890
32,1048576,PARALLEL,INT64,9,4478240
32,1048576,PARALLEL,INT64,10,4478620
32,1048576,PARALLEL,INT64,11,4479120
32,1048576,PARALLEL,INT64,12,4479440
32,1048576,PARALLEL,INT64,13,4479900
32,1048576,PARALLEL,INT64,14,4480420
32,1048576,PARALLEL,INT64,15,4480850
32,1048576,PARALLEL,INT64,16,4481330
32,1048576,PARALLEL,INT64,17,4481780
32,1048576,PARALLEL,INT64,18,4482460
32,1048576,PARALLEL,INT64,19,4482850
32,1048576,PARALLEL,INT64,20,4483660
32,1048576,PARALLEL,INT64,21,4484350
32,1048576,PARALLEL,INT64,22,4485140
32,1048576,PARALLEL,INT64,23,4485840
64,1048576,PARALLEL,INT64,1,2238270
64,1048576,PARALLEL,INT64,2,2238350
64,1048576,PARALLEL,INT64,3,2238580
64,1048576,PARALLEL,INT64,4,2238660
64,1048576,PARALLEL,INT64,5,2238960
64,1048576,PARALLEL,INT64,6,2239150
64,1048576,PARALLEL,INT64,7,2239440
64,1048576,PARALLEL,INT64,8,2239680
64,1048576,PARALLEL,INT64,9,2240060
64,1048576,PARALLEL,INT64,10,2240510
64,1048576,PARALLEL,INT64,11,2240900
64,1048576,PARALLEL,INT64,12,2241280
64,1048576,PARALLEL,INT64,13,2241680
64,1048576,PARALLEL,INT64,14,2242220
64,1048576,PARALLEL,INT64,15,2242350
64,1048576,PARALLEL,INT64,16,2243120
64,1048576,PARALLEL,INT64,17,2243260
64,1048576,PARALLEL,INT64,18,2244220
64,1048576,PARALLEL,INT64,19,2244830
64,1048576,PARALLEL,INT64,20,2245460
64,1048576,PARALLEL,INT64,21,2246080
64,1048576,PARALLEL,INT64,22,2246800
64,1048576,PARALLEL,INT64,23,2247500
