nr_dpus,input_size,transfer_type,nr_tasklets,variable_type,interactor_type,nr_instructions,dpu_kernel_time
16,2048,PARALLEL,1,INT64,ZERO_TASKLET_COLLECTION,1088,1.107
16,2048,PARALLEL,1,INT64,SINGLE_TASKLET,1072,1.137
16,2048,PARALLEL,1,INT64,TREE_BASED_BARRIERS,1104,1.113
16,2048,PARALLEL,1,INT64,TREE_BASED_HANDSHAKES,1104,0.952
16,2048,PARALLEL,1,INT64,MUTEX,1088,1.45
16,16384,PARALLEL,1,INT64,ZERO_TASKLET_COLLECTION,8480,3.235
16,16384,PARALLEL,1,INT64,SINGLE_TASKLET,8464,3.267
16,16384,PARALLEL,1,INT64,TREE_BASED_BARRIERS,8496,4.407
16,16384,PARALLEL,1,INT64,TREE_BASED_HANDSHAKES,8496,3.283
16,16384,PARALLEL,1,INT64,MUTEX,8480,3.077
16,262144,PARALLEL,1,INT64,ZERO_TASKLET_COLLECTION,135200,34.94
16,262144,PARALLEL,1,INT64,SINGLE_TASKLET,135184,43.045
16,262144,PARALLEL,1,INT64,TREE_BASED_BARRIERS,135216,38.784
16,262144,PARALLEL,1,INT64,TREE_BASED_HANDSHAKES,135216,38.303
16,262144,PARALLEL,1,INT64,MUTEX,135200,38.48
16,2048,PARALLEL,2,INT64,ZERO_TASKLET_COLLECTION,1168,1.451
16,2048,PARALLEL,2,INT64,TREE_BASED_BARRIERS,1200,1.57
16,2048,PARALLEL,2,INT64,TREE_BASED_HANDSHAKES,1200,1.276
16,2048,PARALLEL,2,INT64,MUTEX,1184,1.357
16,16384,PARALLEL,2,INT64,ZERO_TASKLET_COLLECTION,8560,3.817
16,16384,PARALLEL,2,INT64,TREE_BASED_BARRIERS,8592,4.179
16,16384,PARALLEL,2,INT64,TREE_BASED_HANDSHAKES,8592,3.019
16,16384,PARALLEL,2,INT64,MUTEX,8576,3.585
16,262144,PARALLEL,2,INT64,ZERO_TASKLET_COLLECTION,135280,37.52
16,262144,PARALLEL,2,INT64,TREE_BASED_BARRIERS,135312,39.428
16,262144,PARALLEL,2,INT64,TREE_BASED_HANDSHAKES,135312,36.741
16,262144,PARALLEL,2,INT64,MUTEX,135296,44.064
16,2048,PARALLEL,3,INT64,ZERO_TASKLET_COLLECTION,1264,1.335
16,2048,PARALLEL,3,INT64,TREE_BASED_BARRIERS,1424,1.56
16,2048,PARALLEL,3,INT64,TREE_BASED_HANDSHAKES,1424,1.613
16,2048,PARALLEL,3,INT64,MUTEX,1264,1.265
16,16384,PARALLEL,3,INT64,ZERO_TASKLET_COLLECTION,8640,3.134
16,16384,PARALLEL,3,INT64,TREE_BASED_BARRIERS,8816,3.716
16,16384,PARALLEL,3,INT64,TREE_BASED_HANDSHAKES,8816,3.917
16,16384,PARALLEL,3,INT64,MUTEX,8640,4.563
16,262144,PARALLEL,3,INT64,ZERO_TASKLET_COLLECTION,135360,43.061
16,262144,PARALLEL,3,INT64,TREE_BASED_BARRIERS,135536,40.813
16,262144,PARALLEL,3,INT64,TREE_BASED_HANDSHAKES,135536,41.273
16,262144,PARALLEL,3,INT64,MUTEX,135360,38.606
16,2048,PARALLEL,4,INT64,ZERO_TASKLET_COLLECTION,1344,1.628
16,2048,PARALLEL,4,INT64,TREE_BASED_BARRIERS,1616,1.365
16,2048,PARALLEL,4,INT64,TREE_BASED_HANDSHAKES,1616,1.499
16,2048,PARALLEL,4,INT64,MUTEX,1344,1.361
16,16384,PARALLEL,4,INT64,ZERO_TASKLET_COLLECTION,8720,3.632
16,16384,PARALLEL,4,INT64,TREE_BASED_BARRIERS,9024,3.745
16,16384,PARALLEL,4,INT64,TREE_BASED_HANDSHAKES,9024,3.936
16,16384,PARALLEL,4,INT64,MUTEX,8752,3.811
16,262144,PARALLEL,4,INT64,ZERO_TASKLET_COLLECTION,135440,51.948
16,262144,PARALLEL,4,INT64,TREE_BASED_BARRIERS,135744,50.012
16,262144,PARALLEL,4,INT64,TREE_BASED_HANDSHAKES,135744,53.697
16,262144,PARALLEL,4,INT64,MUTEX,135472,40.299
16,2048,PARALLEL,5,INT64,ZERO_TASKLET_COLLECTION,1472,1.567
16,2048,PARALLEL,5,INT64,TREE_BASED_BARRIERS,2112,1.557
16,2048,PARALLEL,5,INT64,TREE_BASED_HANDSHAKES,2112,1.619
16,2048,PARALLEL,5,INT64,MUTEX,1440,1.826
16,16384,PARALLEL,5,INT64,ZERO_TASKLET_COLLECTION,8848,4.115
16,16384,PARALLEL,5,INT64,TREE_BASED_BARRIERS,9536,3.773
16,16384,PARALLEL,5,INT64,TREE_BASED_HANDSHAKES,9536,4.16
16,16384,PARALLEL,5,INT64,MUTEX,8864,3.74
16,262144,PARALLEL,5,INT64,ZERO_TASKLET_COLLECTION,135568,43.984
16,262144,PARALLEL,5,INT64,TREE_BASED_BARRIERS,136256,40.089
16,262144,PARALLEL,5,INT64,TREE_BASED_HANDSHAKES,136256,40.85
16,262144,PARALLEL,5,INT64,MUTEX,135584,38.754
16,2048,PARALLEL,6,INT64,ZERO_TASKLET_COLLECTION,1584,1.63
16,2048,PARALLEL,6,INT64,TREE_BASED_BARRIERS,2480,2.116
16,2048,PARALLEL,6,INT64,TREE_BASED_HANDSHAKES,2480,2.095
16,2048,PARALLEL,6,INT64,MUTEX,1552,1.61
16,16384,PARALLEL,6,INT64,ZERO_TASKLET_COLLECTION,8976,3.977
16,16384,PARALLEL,6,INT64,TREE_BASED_BARRIERS,9936,4.622
16,16384,PARALLEL,6,INT64,TREE_BASED_HANDSHAKES,9936,4.117
16,16384,PARALLEL,6,INT64,MUTEX,8976,4.037
16,262144,PARALLEL,6,INT64,ZERO_TASKLET_COLLECTION,135696,40.85
16,262144,PARALLEL,6,INT64,TREE_BASED_BARRIERS,136656,42.959
16,262144,PARALLEL,6,INT64,TREE_BASED_HANDSHAKES,136656,40.355
16,262144,PARALLEL,6,INT64,MUTEX,135696,40.824
16,2048,PARALLEL,7,INT64,ZERO_TASKLET_COLLECTION,1728,1.692
16,2048,PARALLEL,7,INT64,TREE_BASED_BARRIERS,2944,2.668
16,2048,PARALLEL,7,INT64,TREE_BASED_HANDSHAKES,2944,2.31
16,2048,PARALLEL,7,INT64,MUTEX,1664,1.686
16,16384,PARALLEL,7,INT64,ZERO_TASKLET_COLLECTION,9136,4.225
16,16384,PARALLEL,7,INT64,TREE_BASED_BARRIERS,10352,5.552
16,16384,PARALLEL,7,INT64,TREE_BASED_HANDSHAKES,10352,4.528
16,16384,PARALLEL,7,INT64,MUTEX,9072,4.177
16,262144,PARALLEL,7,INT64,ZERO_TASKLET_COLLECTION,135856,38.609
16,262144,PARALLEL,7,INT64,TREE_BASED_BARRIERS,137056,41.116
16,262144,PARALLEL,7,INT64,TREE_BASED_HANDSHAKES,137056,52.519
