nr_dpus,input_size,transfer_type,nr_tasklets,variable_type,operation,nr_instructions
16,131072,PARALLEL,16,INT32,AXPY,416944
16,131072,PARALLEL,16,INT32,AXMINY,416944
16,131072,PARALLEL,16,INT32,AXMULY,1001660
16,131072,PARALLEL,16,INT32,AXDIVY,715312
16,131072,PARALLEL,16,INT64,AXPY,1121520
16,131072,PARALLEL,16,INT64,AXMINY,1121520
16,131072,PARALLEL,16,INT64,AXMULY,2120940
16,131072,PARALLEL,16,INT64,AXDIVY,2745600
16,131072,PARALLEL,16,FLOAT,AXPY,3949340
16,131072,PARALLEL,16,FLOAT,AXMINY,4031680
16,131072,PARALLEL,16,FLOAT,AXMULY,5666160
16,131072,PARALLEL,16,FLOAT,AXDIVY,19037200
16,131072,PARALLEL,16,DOUBLE,AXPY,5983870
16,131072,PARALLEL,16,DOUBLE,AXMINY,6042260
16,131072,PARALLEL,16,DOUBLE,AXMULY,10276600
16,131072,PARALLEL,16,DOUBLE,AXDIVY,21926800
16,131072,PARALLEL,16,CHAR,AXPY,1482770
16,131072,PARALLEL,16,CHAR,AXMINY,1482770
16,131072,PARALLEL,16,CHAR,AXMULY,2810050
16,131072,PARALLEL,16,CHAR,AXDIVY,2404210
16,131072,PARALLEL,16,SHORT,AXPY,826544
16,131072,PARALLEL,16,SHORT,AXMINY,826544
16,131072,PARALLEL,16,SHORT,AXMULY,1685710
16,131072,PARALLEL,16,SHORT,AXDIVY,1406820
